Year,LandslideID,Zone,slope aspect
2018,Habiu,Initiation,138.2349989
2018,Habiu,Transport,126.8216377
2018,Habiu,Deposition,133.6270106
2018,Takaoka,Initiation,148.1699688
2018,Takaoka,Transport,155.8884263
2018,Takaoka,Deposition,80.11803197
2018,Horosato,Initiation,117.0223978
2018,Horosato,Transport,119.9654293
2018,Horosato,Deposition,111.4162359
2018,Towa,Initiation,151.0603461
2018,Towa,Transport,139.914653
2018,Towa,Deposition,85.92084258
2018,Uryu,Initiation,52.9603923
2018,Uryu,Transport,76.85136084
2018,Uryu,Deposition,62.81651489
Reference,Atsuma,Upper,129.5637799
Reference,Atsuma,Middle,124.3712594
Reference,Atsuma,Lower,105.2222159
2003,482,Initiation,169.0383377
2003,482,Transport,166.5393143
2003,482,Deposition,151.7360382
2003,353,Initiation,33.46560764
2003,353,Transport,21.63129616
2003,353,Deposition,67.49130821
2003,65,Initiation,163.4266256
2003,65,Transport,138.5385106
2003,65,Deposition,111.7614695
2003,19,Initiation,7.903305109
2003,19,Transport,18.58529663
2003,19,Deposition,18.48033524
2003,29,Initiation,24.5062116
2003,29,Transport,20.29084396
2003,29,Deposition,28.34210491
1981,62,Initiation,161.9161053
1981,62,Transport,168.3461195
1981,62,Deposition,159.0361099
1981,70,Initiation,48.06063496
1981,70,Transport,54.17522748
1981,70,Deposition,89.50088247
1981,28,Initiation,136.3599472
1981,28,Transport,161.0234589
1981,28,Deposition,150.2644852
1981,23,Initiation,91.67506917
1981,23,Transport,100.4530139
1981,23,Deposition,114.6227079
1981,22,Initiation,73.64404096
1981,22,Transport,81.53794797
1981,22,Deposition,114.7666969
1947,32,Initiation,94.63451894
1947,32,Transport,104.9923416
1947,30,Initiation,134.2666918
1947,30,Transport,142.9848744
1947,19,Initiation,107.318684
1947,19,Transport,161.8163791
1947,20,Initiation,152.144535
1947,20,Transport,156.6886749
1947,16,Initiation,170.4972122
1947,16,Transport,165.5143682
Reference,Hidaka,Upper,32.15169554
Reference,Hidaka,Middle,28.08492279
Reference,Hidaka,Lower,26.39105259
Reference,Biratori,Upper,112.4274139
Reference,Biratori,Middle,99.47981262
Reference,Biratori,Lower,164.1193632
